timestamp,face_dist,face_w,face_h,lp_x,lp_y,rp_x,rp_y,gaze_x,gaze_y
1759313839.7703626,1671.71680803427,266,312,272,265,382,268,0,0
1759313839.928598,1721.3591651963256,270,316,262,268,381,278,0,0
1759313840.0030632,1716.8740365648569,270,313,263,268,381,276,0,0
1759313840.0817463,1703.8137686000687,273,316,264,267,382,278,0,0
1759313840.2308784,1708.3479776150239,270,313,264,269,381,277,0,0
1759313840.3176165,1712.3561496861948,272,314,264,268,380,277,0,0
1759313840.3961158,1706.7506629308855,270,312,264,268,382,278,0,0
1759313840.4752007,1684.5870204694922,276,314,264,269,383,279,0,0
1759313840.5516112,1674.7952439565552,274,312,267,269,383,279,0,0
1759313840.6364229,1678.3924715850112,276,316,265,268,382,278,0,0
1759313840.7195475,1684.8303853389439,272,313,264,268,383,279,0,0
1759313840.7983308,1691.1419496037558,274,314,264,269,382,279,0,0
1759313840.8774626,1712.6102145665816,270,312,267,268,384,279,0,0
1759313840.9470007,1708.133703294238,272,313,266,269,383,279,0,0
1759313841.0231485,1706.8020991234928,269,314,267,268,382,279,0,0
1759313841.10335,1704.43039625364,270,315,267,268,381,279,0,0
1759313841.1763928,1701.5089588909177,270,314,266,269,381,278,0,0
1759313841.260042,1717.111346404416,271,311,267,268,382,278,0,0
1759313841.3361998,1682.3608064668836,271,315,268,267,382,277,0,0
1759313841.4193885,1667.9247518344555,272,317,264,267,384,277,0,0
1759313841.490901,1667.2358206857314,271,317,265,267,383,278,0,0
1759313841.5654917,1671.876196251263,272,315,265,267,383,278,0,0
1759313841.6411018,1668.2846252656436,274,316,265,266,384,278,0,0
1759313841.7260041,1681.0819209123206,272,316,267,269,384,278,0,0
1759313843.0026848,1687.2889923381617,273,316,266,267,385,279,0,0
1759313843.0858247,1684.9795640136333,273,315,266,268,384,279,0,0
1759313843.1631858,1694.642574133764,272,315,267,268,381,280,0,0
1759313843.2391582,1702.7479971690445,271,312,270,268,382,280,0,479
